,pre,post,pristi_s14_new_out_posterior_cut.csv' with 79 nodes and 1619 edges_weight,pristi_15_roi_count.csv' with 89 nodes and 1939 edges_weight,witvliet_dataset6_vol.csv' with 81 nodes and 1840 edges_weight,witvliet_dataset5_vol.csv' with 87 nodes and 2039 edges_weight,witvliet_dataset3_vol.csv' with 76 nodes and 1591 edges_weight,witvliet_dataset2_vol.csv' with 75 nodes and 1566 edges_weight,witvliet_dataset8_vol.csv' with 84 nodes and 2098 edges_weight,witvliet_dataset4_vol.csv' with 84 nodes and 1889 edges_weight,cel_n2u_adjacency.csv' with 84 nodes and 1974 edges_weight,witvliet_dataset1_vol.csv' with 77 nodes and 1623 edges_weight,cel_jsh_nr_adj.csv' with 84 nodes and 1974 edges_weight,conserved,average_size,elegans_sum,pristi_sum,pristi_specific,elegans_specific,in_pristi
126,ADE,AVM,0.0,0.0,806276.0,1147560.0,0.0,0.0,252000.0,0.0,0.0,0.0,0.0,3,735278.6666666666,3,0,no,no,no
127,ADE,BWM,0.0,0.0,1151629.0,581640.0,0.0,0.0,152880.0,0.0,0.0,0.0,0.0,3,628716.3333333334,3,0,no,no,no
128,ADE,CEP,0.0,0.0,633937.0,394800.0,0.0,0.0,1157040.0,0.0,5844.0,0.0,5844.0,5,439493.0,5,0,no,no,no
129,ADE,FLP,0.0,0.0,1246923.0,1371720.0,1000080.0,1423872.0,3415200.0,665640.0,41416.0,673440.0,41416.0,9,1097745.2222222222,9,0,no,yes,no
130,ADE,IL1,0.0,0.0,2155928.0,1127160.0,0.0,0.0,3818160.0,160320.0,18770.0,0.0,18770.0,6,1216518.0,6,0,no,no,no
131,ADE,IL2,0.0,0.0,1611539.0,95880.0,0.0,0.0,1933680.0,4920.0,17180.0,0.0,17180.0,6,613396.5,6,0,no,no,no
132,ADE,OLL,0.0,0.0,1363507.0,156720.0,0.0,0.0,1267440.0,95520.0,17360.0,0.0,17360.0,6,486317.8333333333,6,0,no,no,no
133,ADE,PVQ,0.0,0.0,675.0,125760.0,0.0,90368.0,0.0,101400.0,0.0,0.0,0.0,4,79550.75,4,0,no,no,no
134,ADE,PVR,0.0,0.0,102727.0,158040.0,46560.0,0.0,1275600.0,26520.0,5134.0,0.0,5134.0,7,231387.85714285713,7,0,no,no,no
135,ADE,RIA,0.0,0.0,470722.0,437760.0,0.0,0.0,765120.0,7080.0,2316.0,0.0,2316.0,6,280885.6666666667,6,0,no,no,no
136,ADE,RMD,0.0,0.0,1652764.0,138840.0,0.0,0.0,2748240.0,109320.0,19638.0,0.0,19638.0,6,781406.6666666666,6,0,no,no,no
