,pre,post,pristi_s14_new_out_posterior_cut.csv' with 79 nodes and 1619 edges_weight,pristi_15_roi_count.csv' with 89 nodes and 1939 edges_weight,witvliet_dataset8_vol.csv' with 84 nodes and 2098 edges_weight,conserved,average_size,elegans_sum,pristi_sum,pristi_specific,elegans_specific,in_pristi
444,ALN,SDQ,2142.0,0.0,0.0,1,2142.0,0,1,no,no,yes
445,ALN,SIA,24495.0,2596.0,2333520.0,3,786870.3333333334,1,2,no,no,yes
446,ALN,SIB,1273.0,1501.0,862800.0,3,288524.6666666667,1,2,no,no,yes
447,ALN,SMB,27651.0,19707.0,3254640.0,3,1100666.0,1,2,no,no,yes
448,ALN,SMD,42232.0,31562.0,6332640.0,3,2135478.0,1,2,no,no,yes
449,ALN,URB,4211.0,1400.0,123120.0,3,42910.333333333336,1,2,no,no,yes
450,ALN,URX,675.0,349.0,0.0,2,512.0,0,2,yes,no,yes
451,ALN,AVD,0.0,1050.0,0.0,1,1050.0,0,1,no,no,yes
452,ALN,PLN,0.0,933.0,0.0,1,933.0,0,1,no,no,yes
453,ALN,RID,0.0,86.0,0.0,1,86.0,0,1,no,no,yes
454,ALN,RIP,0.0,2190.0,0.0,1,2190.0,0,1,no,no,yes
455,ALN,unk,0.0,6293.0,19680.0,2,12986.5,1,1,no,no,yes
456,ALN,AVH,0.0,0.0,137520.0,1,137520.0,1,0,no,yes,no
457,ALN,AVK,0.0,0.0,606720.0,1,606720.0,1,0,no,yes,no
458,ALN,BWM,0.0,0.0,88560.0,1,88560.0,1,0,no,yes,no
459,ALN,RIA,0.0,0.0,125760.0,1,125760.0,1,0,no,yes,no
460,ALN,RIC,0.0,0.0,8880.0,1,8880.0,1,0,no,yes,no
461,AQR,AUA,615.0,495.0,295200.0,3,98770.0,1,2,no,no,yes
462,AQR,AVA,28061.0,10220.0,5433840.0,3,1824040.3333333333,1,2,no,no,yes
463,AQR,AVD,4282.0,808.0,1821120.0,3,608736.6666666666,1,2,no,no,yes
464,AQR,AVE,2598.0,1809.0,20640.0,3,8349.0,1,2,no,no,yes
465,AQR,AVJ,616.0,0.0,103440.0,2,52028.0,1,1,no,no,yes
466,AQR,AVK,44463.0,21765.0,311760.0,3,125996.0,1,2,no,no,yes
467,AQR,AVL,6346.0,5198.0,51360.0,3,20968.0,1,2,no,no,yes
468,AQR,AWB,1854.0,164.0,0.0,2,1009.0,0,2,yes,no,yes
469,AQR,BAG,797.0,2470.0,4266000.0,3,1423089.0,1,2,no,no,yes
470,AQR,DVA,10444.0,16400.0,9230640.0,3,3085828.0,1,2,no,no,yes
471,AQR,DVC,56021.0,43040.0,1356000.0,3,485020.3333333333,1,2,no,no,yes
472,AQR,IL1,14.0,905.0,181680.0,3,60866.333333333336,1,2,no,no,yes
473,AQR,IL2,326.0,162.0,205680.0,3,68722.66666666667,1,2,no,no,yes
474,AQR,OLL,928.0,0.0,0.0,1,928.0,0,1,no,no,yes
475,AQR,OLQ,12268.0,8121.0,0.0,2,10194.5,0,2,yes,no,yes
476,AQR,PLN,2467.0,5262.0,0.0,2,3864.5,0,2,yes,no,yes
477,AQR,PVC,4559.0,3540.0,7728240.0,3,2578779.6666666665,1,2,no,no,yes
478,AQR,PVP,18097.0,11157.0,11508960.0,3,3846071.3333333335,1,2,no,no,yes
479,AQR,PVT,10169.0,26374.0,435360.0,3,157301.0,1,2,no,no,yes
480,AQR,RIA,526.0,2478.0,1772640.0,3,591881.3333333334,1,2,no,no,yes
481,AQR,RIB,2460.0,2321.0,0.0,2,2390.5,0,2,yes,no,yes
482,AQR,RIG,36064.0,29253.0,810480.0,3,291932.3333333333,1,2,no,no,yes
483,AQR,RIM,4376.0,4949.0,1680.0,3,3668.3333333333335,1,2,no,no,yes
484,AQR,RIP,2805.0,0.0,0.0,1,2805.0,0,1,no,no,yes
485,AQR,RIR,10504.0,1109.0,6720240.0,3,2243951.0,1,2,no,no,yes
486,AQR,RIV,7143.0,2408.0,185280.0,3,64943.666666666664,1,2,no,no,yes
487,AQR,RME,2098.0,1954.0,0.0,2,2026.0,0,2,yes,no,yes
488,AQR,RMG,35814.0,31954.0,480.0,3,22749.333333333332,1,2,no,no,yes
489,AQR,RMH,23587.0,0.0,44400.0,2,33993.5,1,1,no,no,yes
490,AQR,SAA,2885.0,1692.0,184560.0,3,63045.666666666664,1,2,no,no,yes
491,AQR,SIA,636.0,970.0,754080.0,3,251895.33333333334,1,2,no,no,yes
492,AQR,URX,86869.0,73871.0,379200.0,3,179980.0,1,2,no,no,yes
493,AQR,URY,8821.0,2191.0,167280.0,3,59430.666666666664,1,2,no,no,yes
494,AQR,unk,2215.0,9654.0,0.0,2,5934.5,0,2,yes,no,yes
495,AQR,AVB,0.0,471.0,7215360.0,2,3607915.5,1,1,no,no,yes
496,AQR,RIC,0.0,2659.0,524400.0,2,263529.5,1,1,no,no,yes
497,AQR,RMF,0.0,23195.0,11760.0,2,17477.5,1,1,no,no,yes
498,AQR,SMB,0.0,1251.0,229440.0,2,115345.5,1,1,no,no,yes
499,AQR,URA,0.0,1050.0,164640.0,2,82845.0,1,1,no,no,yes
500,AQR,VD1,0.0,96.0,0.0,1,96.0,0,1,no,no,yes
501,AQR,AVH,0.0,0.0,2588400.0,1,2588400.0,1,0,no,yes,no
502,AQR,FLP,0.0,0.0,114960.0,1,114960.0,1,0,no,yes,no
503,AQR,PVN,0.0,0.0,3360.0,1,3360.0,1,0,no,yes,no
504,AQR,PVR,0.0,0.0,13680.0,1,13680.0,1,0,no,yes,no
505,AQR,RID,0.0,0.0,450480.0,1,450480.0,1,0,no,yes,no
506,AQR,RIS,0.0,0.0,1200.0,1,1200.0,1,0,no,yes,no
507,AQR,SDQ,0.0,0.0,15360.0,1,15360.0,1,0,no,yes,no
508,AQR,SIB,0.0,0.0,1424400.0,1,1424400.0,1,0,no,yes,no
509,AQR,SMD,0.0,0.0,43920.0,1,43920.0,1,0,no,yes,no
510,AVA,AVA,1011.0,629.0,1956240.0,3,652626.6666666666,1,2,no,no,yes
511,AVA,AVB,52448.0,15920.0,6903600.0,3,2323989.3333333335,1,2,no,no,yes
512,AVA,AVD,21024.0,9324.0,3247440.0,3,1092596.0,1,2,no,no,yes
513,AVA,AVE,39386.0,18968.0,1794000.0,3,617451.3333333334,1,2,no,no,yes
514,AVA,AVF,5018.0,1954.0,1810560.0,3,605844.0,1,2,no,no,yes
515,AVA,AVJ,3441.0,10361.0,1909680.0,3,641160.6666666666,1,2,no,no,yes
516,AVA,AVK,57740.0,33783.0,1641120.0,3,577547.6666666666,1,2,no,no,yes
517,AVA,AVL,5191.0,2188.0,0.0,2,3689.5,0,2,yes,no,yes
518,AVA,BAG,11648.0,690.0,4555440.0,3,1522592.6666666667,1,2,no,no,yes
519,AVA,CEP,556.0,0.0,222000.0,2,111278.0,1,1,no,no,yes
520,AVA,DVA,16359.0,18176.0,1646880.0,3,560471.6666666666,1,2,no,no,yes
521,AVA,DVC,69060.0,31501.0,4264560.0,3,1455040.3333333333,1,2,no,no,yes
522,AVA,OLQ,1596.0,1291.0,337440.0,3,113442.33333333333,1,2,no,no,yes
523,AVA,PLN,6472.0,3602.0,44400.0,3,18158.0,1,2,no,no,yes
524,AVA,PVC,3830.0,1672.0,4077840.0,3,1361114.0,1,2,no,no,yes
525,AVA,PVP,18797.0,16170.0,2897280.0,3,977415.6666666666,1,2,no,no,yes
526,AVA,PVT,9191.0,13943.0,1108560.0,3,377231.3333333333,1,2,no,no,yes
527,AVA,RIA,10056.0,4389.0,3166080.0,3,1060175.0,1,2,no,no,yes
528,AVA,RIC,40199.0,33119.0,7954320.0,3,2675879.3333333335,1,2,no,no,yes
529,AVA,RIF,13113.0,0.0,1117440.0,2,565276.5,1,1,no,no,yes
530,AVA,RIG,10666.0,14481.0,2136240.0,3,720462.3333333334,1,2,no,no,yes
531,AVA,RIH,929.0,0.0,86160.0,2,43544.5,1,1,no,no,yes
532,AVA,RIM,76352.0,50166.0,15439440.0,3,5188652.666666667,1,2,no,no,yes
533,AVA,RIR,403.0,2332.0,1113600.0,3,372111.6666666667,1,2,no,no,yes
534,AVA,RIS,554.0,2.0,0.0,2,278.0,0,2,yes,no,yes
535,AVA,RIV,13311.0,3469.0,2738880.0,3,918553.3333333334,1,2,no,no,yes
536,AVA,RMD,7618.0,13674.0,1891680.0,3,637657.3333333334,1,2,no,no,yes
537,AVA,RME,560.0,2022.0,0.0,2,1291.0,0,2,yes,no,yes
538,AVA,RMF,14731.0,29013.0,1243680.0,3,429141.3333333333,1,2,no,no,yes
539,AVA,RMG,271.0,317.0,1830000.0,3,610196.0,1,2,no,no,yes
540,AVA,RMH,31370.0,9400.0,3083280.0,3,1041350.0,1,2,no,no,yes
541,AVA,SAA,54940.0,52864.0,19071360.0,3,6393054.666666667,1,2,no,no,yes
542,AVA,SDQ,8406.0,19847.0,3823920.0,3,1284057.6666666667,1,2,no,no,yes
543,AVA,SIA,21622.0,9354.0,7256400.0,3,2429125.3333333335,1,2,no,no,yes
544,AVA,SIB,7421.0,8412.0,3304800.0,3,1106877.6666666667,1,2,no,no,yes
545,AVA,SMB,4297.0,4197.0,3998640.0,3,1335711.3333333333,1,2,no,no,yes
546,AVA,SMD,32047.0,32823.0,13342080.0,3,4468983.333333333,1,2,no,no,yes
547,AVA,URX,1678.0,3942.0,40560.0,3,15393.333333333334,1,2,no,no,yes
548,AVA,URY,9104.0,5795.0,1444320.0,3,486406.3333333333,1,2,no,no,yes
549,AVA,unk,7007.0,11489.0,95280.0,3,37925.333333333336,1,2,no,no,yes
550,AVA,AWC,0.0,43.0,2640.0,2,1341.5,1,1,no,no,yes
551,AVA,BDU,0.0,10.0,571200.0,2,285605.0,1,1,no,no,yes
552,AVA,IL1,0.0,312.0,140160.0,2,70236.0,1,1,no,no,yes
553,AVA,IL2,0.0,410.0,272640.0,2,136525.0,1,1,no,no,yes
554,AVA,RIB,0.0,85.0,2476560.0,2,1238322.5,1,1,no,no,yes
555,AVA,RID,0.0,919.0,1496640.0,2,748779.5,1,1,no,no,yes
556,AVA,URA,0.0,586.0,112800.0,2,56693.0,1,1,no,no,yes
557,AVA,AVH,0.0,0.0,4097760.0,1,4097760.0,1,0,no,yes,no
558,AVA,AWA,0.0,0.0,8640.0,1,8640.0,1,0,no,yes,no
559,AVA,AWB,0.0,0.0,265440.0,1,265440.0,1,0,no,yes,no
560,AVA,BWM,0.0,0.0,4320.0,1,4320.0,1,0,no,yes,no
561,AVA,FLP,0.0,0.0,7132080.0,1,7132080.0,1,0,no,yes,no
562,AVA,HSN,0.0,0.0,914880.0,1,914880.0,1,0,no,yes,no
563,AVA,OLL,0.0,0.0,480.0,1,480.0,1,0,no,yes,no
564,AVA,PVN,0.0,0.0,256080.0,1,256080.0,1,0,no,yes,no
565,AVA,PVQ,0.0,0.0,256080.0,1,256080.0,1,0,no,yes,no
566,AVA,PVR,0.0,0.0,147360.0,1,147360.0,1,0,no,yes,no
567,AVA,RIP,0.0,0.0,29280.0,1,29280.0,1,0,no,yes,no
568,AVA,URB,0.0,0.0,154320.0,1,154320.0,1,0,no,yes,no
569,AVB,AVB,11267.0,12305.0,2813520.0,3,945697.3333333334,1,2,no,no,yes
570,AVB,AVD,46790.0,41040.0,11302800.0,3,3796876.6666666665,1,2,no,no,yes
571,AVB,AVE,22264.0,18762.0,3986160.0,3,1342395.3333333333,1,2,no,no,yes
572,AVB,AVF,27456.0,1760.0,1046400.0,3,358538.6666666667,1,2,no,no,yes
573,AVB,AVJ,71246.0,77549.0,16357680.0,3,5502158.333333333,1,2,no,no,yes
574,AVB,AVK,15396.0,7208.0,1951200.0,3,657934.6666666666,1,2,no,no,yes
575,AVB,AWA,3434.0,5427.0,128160.0,3,45673.666666666664,1,2,no,no,yes
576,AVB,AWB,93885.0,55745.0,26400.0,3,58676.666666666664,1,2,no,no,yes
577,AVB,BAG,2583.0,2048.0,1474800.0,3,493143.6666666667,1,2,no,no,yes
578,AVB,DVA,61267.0,38571.0,6193200.0,3,2097679.3333333335,1,2,no,no,yes
579,AVB,HSN,5864.0,0.0,1629840.0,2,817852.0,1,1,no,no,yes
580,AVB,IL1,157.0,0.0,74880.0,2,37518.5,1,1,no,no,yes
581,AVB,IL2,268.0,0.0,84720.0,2,42494.0,1,1,no,no,yes
582,AVB,OLQ,1766.0,160.0,284160.0,3,95362.0,1,2,no,no,yes
583,AVB,PLN,649.0,0.0,7200.0,2,3924.5,1,1,no,no,yes
584,AVB,PVC,79920.0,67065.0,22778160.0,3,7641715.0,1,2,no,no,yes
585,AVB,PVD,68.0,787.0,0.0,2,427.5,0,2,yes,no,yes
586,AVB,PVN,38825.0,22878.0,1673520.0,3,578407.6666666666,1,2,no,no,yes
587,AVB,PVP,63280.0,52734.0,12141120.0,3,4085711.3333333335,1,2,no,no,yes
588,AVB,PVT,2299.0,0.0,3600.0,2,2949.5,1,1,no,no,yes
589,AVB,RIA,1644.0,1238.0,162960.0,3,55280.666666666664,1,2,no,no,yes
590,AVB,RIB,19458.0,19071.0,1759920.0,3,599483.0,1,2,no,no,yes
591,AVB,RIC,37417.0,20197.0,2544960.0,3,867524.6666666666,1,2,no,no,yes
592,AVB,RIF,50134.0,18274.0,5514960.0,3,1861122.6666666667,1,2,no,no,yes
593,AVB,RIM,126225.0,76610.0,11649120.0,3,3950651.6666666665,1,2,no,no,yes
594,AVB,RIP,30631.0,33920.0,1923840.0,3,662797.0,1,2,no,no,yes
595,AVB,RIR,28448.0,32979.0,51360.0,3,37595.666666666664,1,2,no,no,yes
596,AVB,RIS,50.0,2930.0,2800320.0,3,934433.3333333334,1,2,no,no,yes
597,AVB,RIV,760.0,2103.0,2329920.0,3,777594.3333333334,1,2,no,no,yes
598,AVB,RME,448.0,0.0,663840.0,2,332144.0,1,1,no,no,yes
599,AVB,RMG,3269.0,3721.0,1300560.0,3,435850.0,1,2,no,no,yes
600,AVB,RMH,58.0,0.0,799440.0,2,399749.0,1,1,no,no,yes
601,AVB,SAA,1518.0,428.0,424560.0,3,142168.66666666666,1,2,no,no,yes
602,AVB,SDQ,15614.0,8323.0,4395840.0,3,1473259.0,1,2,no,no,yes
603,AVB,SIA,5817.0,3514.0,4053840.0,3,1354390.3333333333,1,2,no,no,yes
604,AVB,SIB,29239.0,32850.0,7449360.0,3,2503816.3333333335,1,2,no,no,yes
605,AVB,SMB,7000.0,9335.0,1888080.0,3,634805.0,1,2,no,no,yes
606,AVB,SMD,2173.0,3967.0,534720.0,3,180286.66666666666,1,2,no,no,yes
607,AVB,URA,538.0,0.0,376800.0,2,188669.0,1,1,no,no,yes
608,AVB,URX,9828.0,10357.0,135840.0,3,52008.333333333336,1,2,no,no,yes
