,pre,post,cel_jsh_nr_adj.csv' with 84 nodes and 1784 edges_weight,cel_n2u_nr_adj.csv' with 89 nodes and 2150 edges_weight,witvliet_dataset1_vol.csv' with 82 nodes and 1765 edges_weight,witvliet_dataset2_vol.csv' with 80 nodes and 1702 edges_weight,witvliet_dataset3_vol.csv' with 83 nodes and 1737 edges_weight,witvliet_dataset4_vol.csv' with 87 nodes and 2025 edges_weight,witvliet_dataset5_vol.csv' with 88 nodes and 2163 edges_weight,witvliet_dataset6_vol.csv' with 85 nodes and 1992 edges_weight,witvliet_dataset8_vol.csv' with 88 nodes and 2266 edges_weight,conserved,average_size
21,ADA,AWB,4313.0,5220.0,117720.0,281344.0,196800.0,138360.0,237840.0,290272.0,441120.0,9,190332.11111111112
22,ADA,BDU,2175.0,6834.0,112440.0,534272.0,272040.0,336360.0,352800.0,134829.0,449040.0,9,244532.22222222222
23,ADA,BWM,0.0,0.0,1440.0,0.0,0.0,0.0,4680.0,5744.0,0.0,3,3954.6666666666665
24,ADA,CEPD,275.0,54.0,31080.0,327936.0,278040.0,51000.0,218760.0,97658.0,114240.0,9,124338.11111111111
25,ADA,CEPV,632.0,866.0,32160.0,162304.0,17640.0,85440.0,92280.0,134492.0,74880.0,9,66743.77777777778
26,ADA,DVA,7002.0,31409.0,438960.0,1600256.0,1299120.0,1444440.0,1854480.0,1970073.0,2680080.0,9,1258424.4444444445
27,ADA,FLP,9222.0,18968.0,177720.0,418048.0,165000.0,216720.0,1163280.0,558580.0,990720.0,9,413139.77777777775
28,ADA,Fragment1,0.0,0.0,6360.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6360.0
29,ADA,Fragment2,0.0,0.0,32160.0,0.0,32880.0,0.0,0.0,0.0,0.0,2,32520.0
30,ADA,IL1,835.0,523.0,44640.0,32256.0,53640.0,6120.0,39720.0,54404.0,307680.0,9,59979.77777777778
31,ADA,IL2,1871.0,3858.0,111480.0,184832.0,64560.0,31800.0,274680.0,195315.0,414960.0,9,142595.11111111112
32,ADA,OLL,0.0,4.0,9840.0,3328.0,0.0,0.0,79320.0,34129.0,0.0,5,25324.2
33,ADA,OLQ,7533.0,859.0,445320.0,506624.0,164760.0,262440.0,386400.0,266280.0,878400.0,9,324290.6666666667
34,ADA,PVC,963.0,1641.0,10200.0,34048.0,33480.0,112920.0,116400.0,76369.0,9600.0,9,43957.88888888889
35,ADA,PVP,1456.0,6942.0,521520.0,590336.0,268080.0,362040.0,1027680.0,939079.0,828240.0,9,505041.44444444444
36,ADA,PVQ,1623.0,1280.0,52080.0,159744.0,279600.0,582840.0,675840.0,442336.0,701280.0,9,321847.0
37,ADA,PVR,2805.0,4225.0,201840.0,668416.0,316680.0,201240.0,392520.0,109824.0,685680.0,9,287025.55555555556
38,ADA,RIA,1741.0,2358.0,40200.0,122880.0,132720.0,200160.0,300120.0,76707.0,348720.0,9,136178.44444444444
39,ADA,RIC,40287.0,40749.0,2462160.0,3039744.0,1876320.0,2287920.0,3246480.0,2166403.0,6607680.0,9,2418638.111111111
40,ADA,RID,577.0,3811.0,109440.0,169216.0,64680.0,352440.0,357840.0,198021.0,239280.0,9,166145.0
41,ADA,RIF,8905.0,8299.0,350040.0,740864.0,540480.0,225960.0,512880.0,333526.0,791280.0,9,390248.22222222225
42,ADA,RIH,0.0,0.0,124920.0,187648.0,65040.0,0.0,0.0,8448.0,82560.0,5,93723.2
43,ADA,RIM,67969.0,76387.0,708600.0,1731072.0,1421280.0,1739640.0,5924160.0,6709063.0,12327360.0,9,3411725.6666666665
44,ADA,RIR,13.0,35.0,30240.0,0.0,38400.0,600.0,0.0,41902.0,0.0,6,18531.666666666668
45,ADA,RIV,1591.0,3283.0,687360.0,219136.0,617160.0,355440.0,585240.0,310547.0,1498320.0,9,475341.8888888889
46,ADA,RMD,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,4055.0,0.0,2,3527.5
47,ADA,RMDD,0.0,0.0,6960.0,0.0,27240.0,6000.0,46440.0,0.0,102960.0,5,37920.0
48,ADA,RMDV,0.0,158.0,95520.0,7936.0,135480.0,0.0,0.0,0.0,45600.0,5,56938.8
