,pre,post,witvliet_2020_6_L3_chem.csv' with 80 nodes and 654 edges_weight,witvliet_2020_4_L1_chem.csv' with 76 nodes and 490 edges_weight,witvliet_2020_3_L1_chem.csv' with 72 nodes and 449 edges_weight,witvliet_2020_2_L1_chem.csv' with 72 nodes and 437 edges_weight,witvliet_2020_1_L1_chem.csv' with 71 nodes and 362 edges_weight,cel_white_1986_jsh_chem.csv' with 81 nodes and 646 edges_weight,cel_n2u_chemical.csv' with 84 nodes and 1246 edges_weight,witvliet_2020_7_ad_chem.csv' with 83 nodes and 988 edges_weight,witvliet_2020_8_ad_chem.csv' with 83 nodes and 961 edges_weight,pristi14_chem.csv' with 102 nodes and 1091 edges_weight,witvliet_2020_5_L2_chem.csv' with 79 nodes and 680 edges_weight,conserved,average_size,elegans_sum,pristi_sum,pristi_specific,elegans_specific,in_pristi
49,AIA,RIF,2.0,2.0,4.0,4.0,2.0,5.0,51.0,3.0,3.0,0.0,3.0,10,7.9,10,0,no,yes,no
50,AIA,ASE,0.0,1.0,0.0,0.0,1.0,3.0,20.0,2.0,1.0,2.0,1.0,8,3.875,7,1,no,no,yes
51,AIA,ASH,0.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,13.0,2.0,9,2.888888888888889,8,1,no,no,yes
52,AIA,AWA,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,4,1.75,3,1,no,no,yes
53,AIA,PVQ,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4,1.0,4,0,no,no,no
54,AIA,ADF,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3,1.3333333333333333,3,0,no,no,no
55,AIA,AWB,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1.0,1,1,no,no,yes
56,AIA,ASI,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,6,1.5,5,1,no,no,yes
57,AIA,AIA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,1.0,1,1,no,no,yes
58,AIA,AIM,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,2,4.0,1,1,no,no,yes
59,AIA,ASJ,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1,4.0,1,0,no,no,no
60,AIA,RIR,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,2.0,1,0,no,no,no
61,AIA,RMG,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,2.0,1,0,no,no,no
62,AIA,HSN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,2.0,1,0,no,no,no
63,AIA,AIY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1,0,no,no,no
64,AIB,AVB,13.0,9.0,8.0,6.0,5.0,9.0,39.0,17.0,14.0,15.0,10.0,11,13.181818181818182,10,1,no,no,yes
65,AIB,BAG,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4,1.25,4,0,no,no,no
66,AIB,DVA,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4,1.25,4,0,no,no,no
67,AIB,RIB,9.0,10.0,6.0,7.0,5.0,12.0,27.0,15.0,22.0,6.0,11.0,11,11.818181818181818,10,1,no,no,yes
68,AIB,RIM,31.0,19.0,19.0,17.0,12.0,27.0,114.0,53.0,43.0,23.0,27.0,11,35.0,10,1,no,no,yes
69,AIB,RMF,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,4.0,0.0,0.0,4,3.5,4,0,no,no,no
70,AIB,SAA,2.0,2.0,2.0,0.0,1.0,4.0,22.0,10.0,9.0,4.0,2.0,10,5.8,9,1,no,no,yes
71,AIB,SIA,2.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0,0.0,5,2.2,4,1,no,no,yes
72,AIB,SMD,17.0,11.0,10.0,10.0,6.0,12.0,44.0,24.0,24.0,17.0,13.0,11,17.09090909090909,10,1,no,no,yes
73,AIB,AVA,0.0,1.0,0.0,0.0,0.0,1.0,9.0,9.0,7.0,9.0,1.0,7,5.285714285714286,6,1,no,no,yes
74,AIB,RIV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3,1.0,3,0,no,no,no
75,AIB,RME,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,no
76,AIB,AVE,0.0,0.0,1.0,2.0,4.0,1.0,5.0,2.0,3.0,5.0,2.0,9,2.7777777777777777,8,1,no,no,yes
