,Unnamed: 0,pre,post,witvliet_1,witvliet_2,witvliet_3,witvliet_4,witvliet_5,witvliet_6,cel_jsh,cel_n2u,witvliet_8,pristi_s14,pristi_s15,conserved,conserved_adult,average_size,elegans_sum,pristi_sum,elegans_specific,pristi_specific,specific_adj,elegans_specific_adult,specific_adj_adult,witvliet_1_syn,witvliet_2_syn,witvliet_3_syn,witvliet_4_syn,witvliet_5_syn,witvliet_6_syn,cel_jsh_syn,cel_n2u_syn,witvliet_7_syn,witvliet_8_syn,pristi_s14_syn,pristi_s15_syn,conserved_syn,average_size_syn,elegans_sum_syn,pristi_sum_syn,elegans_specific_syn,pristi_specific_syn,specific_syn,average_cel_syn_size,average_pristi_syn_size,witvliet_1-S-log10,witvliet_2-S-log10,witvliet_3-S-log10,witvliet_4-S-log10,witvliet_5-S-log10,witvliet_6-S-log10,cel_jsh-S-log10,witvliet_8-S-log10,cel_n2u-S-log10,pristi_s14-S-log10,pristi_s15-S-log10,ave_scaled_adj_cel,ave_scaled_adj_pristi,ave_syn_cel,ave_syn_pristi,ave_syn_cel_recode,ave_syn_pristi_recode,pre_brittin,post_brittin,ganglia_check_result,ganglia_check_result_encoded,specific_adj_encoded
12,23,ADA,AIZ,133440.0,225536.0,0.0,116760.0,310920.0,232151.0,1153.0,1534.0,14160.0,12004.0,5525.0,10.0,4.0,105318.3,8.0,2.0,no,no,not specific,no,core,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.5,1.0,1.0,no,no,not specific,0.1,1.0,0.4489985895890449,0.4572696034076158,-1.0,0.39357057599707557,0.45391068228489395,0.4034141813029677,0.09132677965456493,0.05520279174079068,0.12577406577166017,0.43242682068753346,0.34264726778078347,0.15882969663873486,0.38753704423415847,0.1111111111111111,1.0,1,1,Avoidance,Taxis,different,0,2
13,26,ADA,ALM,468840.0,1058816.0,1104360.0,1026240.0,2082120.0,2487428.0,22909.0,2650.0,2490240.0,1866.0,4062.0,11.0,4.0,977230.0909090908,9.0,2.0,no,no,core,no,core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,no,no,not specific,0.0,1.5,0.6032866850198386,0.640095490371591,0.6748992986712377,0.6531691161732676,0.6725156753774963,0.6728043056261461,0.5538511899146854,0.6259164175781906,0.20962171670327412,0.14862928726188573,0.2947291145873161,0.5895733217150808,0.22167920092460092,0.0,1.5,0,1,Avoidance,Avoidance,same,1,1
14,28,ADA,ALN,0.0,0.0,0.0,0.0,58440.0,6082.0,0.0,314.0,6000.0,2059.0,0.0,5.0,3.0,14579.0,4.0,1.0,no,no,not specific,no,not specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,7.0,0.0,1.0,no,no,not specific,0.0,3.5,-1.0,-1.0,-1.0,-1.0,0.261755550386344,-0.010266522269367195,-1.0,-0.03958036292520872,-0.11725123742813193,0.16363100292672583,-1.0,-0.5450380635818183,-0.4181844985366371,0.0,3.5,0,1,Avoidance,Unclassified,different,0,2
15,30,ADA,ASE,13560.0,0.0,1200.0,0.0,13920.0,0.0,0.0,1884.0,3840.0,0.0,0.0,5.0,2.0,6880.8,5.0,0.0,no,no,not specific,no,cel_specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no,none,0.0,0.0,0.16826281052237602,-1.0,-0.1464786314562324,-1.0,0.09683425047067207,-1.0,-1.0,-0.08883881932923388,0.15729289173985816,-1.0,-1.0,-0.4236586108947289,-1.0,0.0,0.0,0,0,Avoidance,Taxis,different,0,2
16,32,ADA,ASG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,1.0,1.0,77.0,1.0,0.0,no,no,not specific,no,not specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no,none,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.33145054098242654,-1.0,-1.0,-0.9257167267758253,-1.0,0.0,0.0,0,0,Avoidance,Taxis,different,0,2
17,34,ADA,ASH,1944240.0,2816256.0,1518840.0,2086920.0,4461120.0,5417532.0,70727.0,55070.0,8068320.0,0.0,0.0,9.0,2.0,2937669.4444444445,9.0,0.0,yes,no,cel_specific,no,cel_specific,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,1.6,5.0,0.0,no,no,not specific,0.8,0.0,0.7779269636042887,0.7557498543930479,0.7132583748951868,0.7379435680986921,0.7601153484656131,0.7612212845774928,0.7283256812691805,0.7556954905861657,0.6751495815311324,-1.0,-1.0,0.7405984608245334,-1.0,0.8888888888888888,0.0,1,0,Avoidance,Avoidance,same,1,0
18,36,ADA,ASI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,1.0,1.0,228.0,1.0,0.0,no,no,not specific,no,not specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,no,no,not specific,0.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.1661797814731728,-1.0,-1.0,-0.9073533090525747,-0.5,0.0,0.5,0,1,Avoidance,Taxis,different,0,2
19,38,ADA,ASJ,3960.0,0.0,4560.0,17400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8640.0,3.0,0.0,no,no,not specific,no,not specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no,none,0.0,0.0,0.017155100802186407,-1.0,0.014139420341058306,0.16621119710239207,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6447215868615959,-1.0,0.0,0.0,0,0,Avoidance,Taxis,different,0,2
20,40,ADA,ASK,171840.0,266496.0,256800.0,280560.0,299520.0,291624.0,1457.0,240.0,659040.0,0.0,0.0,9.0,2.0,247508.55555555556,9.0,0.0,yes,no,cel_specific,no,cel_specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no,none,0.0,0.0,0.48005135142073296,0.47699884411141524,0.49931544277104867,0.4982759716426861,0.44961649438446183,0.42932124979260444,0.12751837264194976,0.4791601344212042,-0.15834218705576097,-1.0,-1.0,0.3646572971255935,-1.0,0.0,0.0,0,0,Avoidance,Taxis,different,0,0
21,42,ADA,AUA,13200.0,0.0,0.0,0.0,0.0,13516.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13358.0,2.0,0.0,no,no,not specific,no,not specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no,none,0.0,0.0,0.16495931274827758,-1.0,-1.0,-1.0,-1.0,0.08042897641108837,-1.0,-1.0,-1.0,-1.0,-1.0,-0.750512412315626,-1.0,0.0,0.0,0,0,Avoidance,Taxis,different,0,2
22,44,ADA,AVA,1650480.0,2582528.0,1909080.0,2222760.0,3385080.0,4699790.0,38471.0,57252.0,9567360.0,32659.0,19820.0,11.0,4.0,2378661.8181818184,9.0,2.0,no,no,core,no,core,3.0,4.0,5.0,1.0,2.0,9.0,6.0,17.0,3.0,5.0,20.0,6.0,12.0,6.75,10.0,2.0,no,no,core,5.5,13.0,0.7578147069078918,0.7455068943895691,0.7407835469404269,0.7454752709633987,0.7283843168717343,0.7450776700358932,0.6340806536274419,0.7745084823785569,0.6811122659666649,0.5850511882132532,0.5416596623408667,0.7280826453423975,0.56335542527706,5.777777777777778,13.0,1,1,Avoidance,Unclassified,different,0,1
23,45,ADA,AVA,1650480.0,2582528.0,1909080.0,2222760.0,3385080.0,4699790.0,38471.0,57252.0,9567360.0,32659.0,19820.0,11.0,4.0,2378661.8181818184,9.0,2.0,no,no,core,no,core,3.0,4.0,5.0,1.0,2.0,9.0,6.0,17.0,3.0,5.0,20.0,9.0,12.0,7.0,10.0,2.0,no,no,core,5.5,14.5,0.7578147069078918,0.7455068943895691,0.7407835469404269,0.7454752709633987,0.7283843168717343,0.7450776700358932,0.6340806536274419,0.7745084823785569,0.6811122659666649,0.5850511882132532,0.5416596623408667,0.7280826453423975,0.56335542527706,5.777777777777778,14.5,1,1,Avoidance,Unclassified,different,0,1
24,48,ADA,AVB,881400.0,2023424.0,1383960.0,1593600.0,3999360.0,5651373.0,53501.0,42019.0,12387120.0,17720.0,12414.0,11.0,4.0,2549626.4545454546,9.0,2.0,no,no,core,no,core,5.0,8.0,9.0,10.0,21.0,25.0,24.0,62.0,28.0,45.0,18.0,5.0,12.0,21.666666666666668,10.0,2.0,no,no,core,23.7,11.5,0.6807925541096036,0.7166626519876809,0.7020643718416149,0.7057323319017783,0.74755438097057,0.7660213644146041,0.6851241052555439,0.8030240427752622,0.6336440235775713,0.49181372882536856,0.46876613997530203,0.7156244252038032,0.4802899344003353,23.22222222222222,11.5,1,1,Avoidance,Avoidance,same,1,1
25,50,ADA,AVD,864360.0,803584.0,623640.0,677760.0,1478280.0,1491915.0,10511.0,21166.0,2606400.0,22163.0,7843.0,11.0,4.0,782511.0909090909,9.0,2.0,no,no,core,no,core,2.0,2.0,0.0,2.0,0.0,2.0,0.0,8.0,1.0,1.0,31.0,10.0,9.0,6.555555555555555,7.0,2.0,no,no,not specific,1.8,20.5,0.678395586124322,0.6074861332268193,0.6061151115929682,0.6036193356833865,0.6331416549429305,0.6147387010238741,0.433271699627914,0.6309495153669078,0.5284210352643206,0.525930451939739,0.397225054816277,0.5929043080948269,0.461577753378008,1.8888888888888888,20.5,1,1,Avoidance,Avoidance,same,1,1
26,52,ADA,AVE,99360.0,248320.0,81600.0,53040.0,561360.0,201398.0,2816.0,2517.0,518640.0,14959.0,18929.0,11.0,4.0,163903.54545454544,9.0,2.0,no,no,core,no,core,0.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,4.0,1.0,28.0,29.0,8.0,8.875,6.0,2.0,no,no,not specific,1.4,28.5,0.4127902762365969,0.4686473450540254,0.3613179094103951,0.2993275913715143,0.5218309229038949,0.38727263313697646,0.22945517227229417,0.45271187847373295,0.20172319202230926,0.4659850604354636,0.5344933437224912,0.3705641023201933,0.5002392020789774,1.1111111111111112,28.5,1,1,Avoidance,Anterior,different,0,1
