,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific
501,ASH,AIZ,0.0,1.0,3.0,0.0,0.0,2,4.0,4.0,2,0,not specific
502,ASH,ASE,0.0,0.0,0.0,5.0,0.0,1,5.0,1.6666666666666667,0,1,not specific
503,ASH,ASH,1.0,0.0,2.0,0.0,0.0,2,3.0,3.0,2,0,not specific
504,ASH,ASK,1.0,0.0,1.0,8.0,0.0,3,10.0,10.0,2,1,not specific
505,ASH,AVA,14.0,35.0,26.0,0.0,0.0,3,75.0,25.0,3,0,cel_specific
506,ASH,AVB,23.0,22.0,20.0,0.0,0.0,3,65.0,21.666666666666668,3,0,cel_specific
507,ASH,AVD,22.0,21.0,56.0,0.0,0.0,3,99.0,49.5,3,0,cel_specific
508,ASH,AVE,1.0,4.0,7.0,0.0,0.0,3,12.0,12.0,3,0,cel_specific
509,ASH,AVF,2.0,0.0,2.0,0.0,0.0,2,4.0,1.3333333333333333,2,0,not specific
510,ASH,AVH,4.0,3.0,3.0,0.0,0.0,3,10.0,3.3333333333333335,3,0,cel_specific
511,ASH,AVJ,5.0,2.0,0.0,0.0,0.0,2,7.0,7.0,2,0,not specific
512,ASH,AWA,1.0,2.0,1.0,0.0,0.0,3,4.0,2.0,3,0,cel_specific
513,ASH,AWB,4.0,3.0,1.0,0.0,0.0,3,8.0,8.0,3,0,cel_specific
514,ASH,AWC,0.0,0.0,0.0,7.0,0.0,1,7.0,1.75,0,1,not specific
515,ASH,HSN,7.0,5.0,11.0,8.0,0.0,4,31.0,10.333333333333334,3,1,not specific
516,ASH,PVC,0.0,2.0,3.0,0.0,0.0,2,5.0,5.0,2,0,not specific
517,ASH,PVN,4.0,0.0,0.0,0.0,0.0,1,4.0,4.0,1,0,not specific
518,ASH,PVP,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific
519,ASH,PVQ,0.0,2.0,0.0,0.0,0.0,1,2.0,1.0,1,0,not specific
520,ASH,RIA,3.0,2.0,17.0,0.0,0.0,3,22.0,22.0,3,0,cel_specific
521,ASH,RIF,1.0,1.0,0.0,0.0,0.0,2,2.0,0.6666666666666666,2,0,not specific
522,ASH,RIM,0.0,1.0,7.0,0.0,0.0,2,8.0,,2,0,not specific
523,ASH,RIP,0.0,0.0,4.0,0.0,0.0,1,4.0,,1,0,not specific
524,ASH,RIR,0.0,0.0,4.0,0.0,0.0,1,4.0,,1,0,not specific
525,ASH,RMG,0.0,4.0,6.0,0.0,0.0,2,10.0,10.0,2,0,not specific
526,ASH,SMB,0.0,1.0,7.0,0.0,0.0,2,8.0,4.0,2,0,not specific
527,ASH,URX,0.0,2.0,2.0,0.0,0.0,2,4.0,2.0,2,0,not specific
528,ASI,ADA,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
529,ASI,ADF,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific
530,ASI,ADL,0.0,0.0,1.0,11.0,0.0,2,12.0,4.0,1,1,not specific
531,ASI,AFD,1.0,1.0,0.0,0.0,0.0,2,2.0,2.0,2,0,not specific
532,ASI,AIA,12.0,11.0,7.0,8.0,2.0,5,40.0,40.0,3,2,core
533,ASI,AIB,12.0,13.0,7.0,25.0,11.0,5,68.0,68.0,3,2,core
534,ASI,AIM,0.0,0.0,0.0,13.0,5.0,2,18.0,18.0,0,2,pristi_specific
535,ASI,AIY,1.0,2.0,5.0,12.0,10.0,5,30.0,7.5,3,2,core
536,ASI,AIZ,0.0,0.0,1.0,22.0,7.0,3,30.0,15.0,1,2,not specific
537,ASI,ASE,0.0,1.0,13.0,22.0,0.0,3,36.0,36.0,2,1,not specific
538,ASI,ASG,5.0,8.0,6.0,0.0,0.0,3,19.0,19.0,3,0,cel_specific
539,ASI,ASH,0.0,1.0,3.0,0.0,2.0,3,6.0,6.0,2,1,not specific
540,ASI,ASI,0.0,0.0,0.0,1.0,0.0,1,1.0,0.3333333333333333,0,1,not specific
541,ASI,ASJ,0.0,0.0,0.0,3.0,0.0,1,3.0,1.5,0,1,not specific
542,ASI,ASK,2.0,1.0,4.0,1.0,2.0,5,10.0,10.0,3,2,core
543,ASI,AVB,0.0,0.0,0.0,2.0,0.0,1,2.0,1.0,0,1,not specific
544,ASI,AVF,0.0,0.0,0.0,3.0,0.0,1,3.0,3.0,0,1,not specific
545,ASI,AWA,3.0,1.0,3.0,0.0,0.0,3,7.0,3.5,3,0,cel_specific
546,ASI,AWB,0.0,1.0,0.0,2.0,0.0,2,3.0,3.0,1,1,not specific
547,ASI,AWC,34.0,28.0,14.0,0.0,2.0,4,78.0,78.0,3,1,not specific
548,ASI,BAG,1.0,0.0,0.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
549,ASI,CEP,0.0,1.0,2.0,0.0,0.0,2,3.0,1.5,2,0,not specific
550,ASI,HSN,0.0,0.0,0.0,10.0,0.0,1,10.0,10.0,0,1,not specific
551,ASI,PVN,0.0,0.0,0.0,18.0,4.0,2,22.0,22.0,0,2,pristi_specific
552,ASI,PVP,0.0,0.0,0.0,3.0,0.0,1,3.0,3.0,0,1,not specific
553,ASI,PVQ,0.0,0.0,0.0,8.0,2.0,2,10.0,3.3333333333333335,0,2,pristi_specific
554,ASI,RIA,2.0,0.0,3.0,0.0,0.0,2,5.0,2.5,2,0,not specific
555,ASI,RIB,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
556,ASI,RIF,0.0,0.0,0.0,2.0,0.0,1,2.0,0.4,0,1,not specific
557,ASI,RIG,0.0,0.0,0.0,1.0,0.0,1,1.0,0.2,0,1,not specific
558,ASI,RMF,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
559,ASI,SAA,0.0,0.0,2.0,0.0,0.0,1,2.0,0.6666666666666666,1,0,not specific
560,ASI,SMB,0.0,0.0,0.0,1.0,2.0,2,3.0,3.0,0,2,pristi_specific
561,ASI,URY,0.0,0.0,0.0,3.0,0.0,1,3.0,3.0,0,1,not specific
562,ASJ,ADL,0.0,0.0,0.0,1.0,0.0,1,1.0,0.5,0,1,not specific
563,ASJ,AIA,1.0,1.0,0.0,4.0,0.0,3,6.0,3.0,2,1,not specific
564,ASJ,AIB,0.0,0.0,0.0,1.0,0.0,1,1.0,,0,1,not specific
565,ASJ,AIM,0.0,0.0,0.0,3.0,0.0,1,3.0,,0,1,not specific
566,ASJ,AIN,0.0,1.0,0.0,0.0,0.0,1,1.0,,1,0,not specific
567,ASJ,ALA,0.0,2.0,3.0,0.0,2.0,3,7.0,3.5,2,1,not specific
568,ASJ,ALN,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
569,ASJ,ASG,1.0,0.0,0.0,0.0,0.0,1,1.0,,1,0,not specific
