,pre,post,witvliet_1,witvliet_2,witvliet_3,witvliet_4,witvliet_5,witvliet_6,cel_jsh,cel_n2u,witvliet_8,pristi_s14,pristi_s15,conserved,conserved_adult,average_size,elegans_sum,pristi_sum,elegans_specific,pristi_specific,specific_adj,elegans_specific_adult,specific_adj_adult
14,ADA,ASG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,1,1,77.0,1,0,no,no,not specific,no,not specific
15,ADA,ASH,1944240.0,2816256.0,1518840.0,2086920.0,4461120.0,5417532.0,70727.0,55070.0,8068320.0,0.0,0.0,9,2,2937669.4444444445,9,0,yes,no,cel_specific,no,cel_specific
16,ADA,ASI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,1,1,228.0,1,0,no,no,not specific,no,not specific
17,ADA,ASJ,3960.0,0.0,4560.0,17400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,8640.0,3,0,no,no,not specific,no,not specific
18,ADA,ASK,171840.0,266496.0,256800.0,280560.0,299520.0,291624.0,1457.0,240.0,659040.0,0.0,0.0,9,2,247508.55555555556,9,0,yes,no,cel_specific,no,cel_specific
19,ADA,AUA,13200.0,0.0,0.0,0.0,0.0,13516.0,0.0,0.0,0.0,0.0,0.0,2,0,13358.0,2,0,no,no,not specific,no,not specific
20,ADA,AVA,1650480.0,2582528.0,1909080.0,2222760.0,3385080.0,4699790.0,38471.0,57252.0,9567360.0,32659.0,19820.0,11,4,2378661.8181818184,9,2,no,no,core,no,core
21,ADA,AVB,881400.0,2023424.0,1383960.0,1593600.0,3999360.0,5651373.0,53501.0,42019.0,12387120.0,17720.0,12414.0,11,4,2549626.4545454546,9,2,no,no,core,no,core
22,ADA,AVD,864360.0,803584.0,623640.0,677760.0,1478280.0,1491915.0,10511.0,21166.0,2606400.0,22163.0,7843.0,11,4,782511.0909090909,9,2,no,no,core,no,core
23,ADA,AVE,99360.0,248320.0,81600.0,53040.0,561360.0,201398.0,2816.0,2517.0,518640.0,14959.0,18929.0,11,4,163903.54545454544,9,2,no,no,core,no,core
25,ADA,AVH,218040.0,807936.0,404640.0,571560.0,1168920.0,793435.0,10050.0,7752.0,1125120.0,0.0,0.0,9,2,567494.7777777778,9,0,yes,no,cel_specific,no,cel_specific
26,ADA,AVJ,425520.0,534528.0,367080.0,397200.0,588720.0,865412.0,13335.0,6162.0,2580240.0,17129.0,12743.0,11,4,528006.2727272727,9,2,no,no,core,no,core
27,ADA,AVK,11640.0,0.0,0.0,10440.0,0.0,0.0,0.0,2876.0,45600.0,33046.0,11598.0,6,4,19200.0,4,2,no,no,not specific,no,core
29,ADA,AWA,73320.0,7168.0,6480.0,3840.0,102360.0,0.0,673.0,3626.0,328080.0,232.0,3806.0,10,4,52958.5,8,2,no,no,not specific,no,core
30,ADA,AWB,117720.0,281344.0,196800.0,138360.0,237840.0,290272.0,4313.0,5220.0,441120.0,5551.0,18728.0,11,4,157933.45454545456,9,2,no,no,core,no,core
31,ADA,BDU,112440.0,534272.0,272040.0,336360.0,352800.0,134829.0,2175.0,6834.0,449040.0,5896.0,23720.0,11,4,202764.18181818182,9,2,no,no,core,no,core
