,Unnamed: 0,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific,how_many_datasets_have_syn_include_zeros,cyto_id,Cytoscape Bins
1441,1782,RMG,SMD,1.0,0.0,3.0,3.0,0.0,3,7.0,3.5,2,1,not specific,7.0,RMG (pp) SMD,>3-10
1442,1783,RMG,URX,2.0,2.0,6.0,0.0,0.0,3,10.0,10.0,3,0,cel_specific,10.0,RMG (pp) URX,>3-10
1443,1803,SAA,ADA,0.0,0.0,0.0,2.0,4.0,2,6.0,6.0,0,2,pristi_specific,6.0,SAA (pp) ADA,>3-10
1444,1804,SAA,AIB,1.0,1.0,5.0,0.0,0.0,3,7.0,7.0,3,0,cel_specific,7.0,SAA (pp) AIB,>3-10
1445,1805,SAA,ALN,0.0,0.0,1.0,1.0,2.0,3,4.0,4.0,1,2,not specific,4.0,SAA (pp) ALN,>3-10
1446,1806,SAA,ASI,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific,1.0,SAA (pp) ASI,1-3
1447,1807,SAA,AVA,77.0,61.0,139.0,71.0,35.0,5,383.0,191.5,3,2,core,383.0,SAA (pp) AVA,>10
1448,1808,SAA,AVB,0.0,0.0,1.0,0.0,0.0,1,1.0,0.25,1,0,not specific,1.0,SAA (pp) AVB,1-3
1449,1809,SAA,AVE,0.0,1.0,0.0,19.0,12.0,3,32.0,32.0,1,2,not specific,32.0,SAA (pp) AVE,>10
1450,1810,SAA,AVK,0.0,0.0,0.0,3.0,0.0,1,3.0,3.0,0,1,not specific,3.0,SAA (pp) AVK,1-3
1451,1811,SAA,IL1,0.0,0.0,12.0,0.0,0.0,1,12.0,6.0,1,0,not specific,12.0,SAA (pp) IL1,>3-10
1452,1812,SAA,OLL,3.0,4.0,8.0,9.0,6.0,5,30.0,15.0,3,2,core,30.0,SAA (pp) OLL,>10
1453,1815,SAA,RIA,0.0,0.0,1.0,0.0,4.0,2,5.0,5.0,1,1,not specific,5.0,SAA (pp) RIA,>3-10
1454,1816,SAA,RIC,0.0,0.0,0.0,2.0,5.0,2,7.0,7.0,0,2,pristi_specific,7.0,SAA (pp) RIC,>3-10
1455,1817,SAA,RIG,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific,1.0,SAA (pp) RIG,1-3
1456,1818,SAA,RIM,76.0,71.0,121.0,26.0,7.0,5,301.0,301.0,3,2,core,301.0,SAA (pp) RIM,>10
1457,1819,SAA,RIP,0.0,0.0,12.0,0.0,0.0,1,12.0,4.0,1,0,not specific,12.0,SAA (pp) RIP,>3-10
1458,1820,SAA,RIV,0.0,0.0,0.0,0.0,3.0,1,3.0,1.5,0,1,not specific,3.0,SAA (pp) RIV,1-3
1459,1821,SAA,RMD,0.0,0.0,1.0,1.0,0.0,2,2.0,2.0,1,1,not specific,2.0,SAA (pp) RMD,1-3
