,pre,post,witvliet_1_syn,witvliet_2_syn,witvliet_3_syn,witvliet_4_syn,witvliet_5_syn,witvliet_6_syn,cel_jsh_syn,cel_n2u_syn,witvliet_7_syn,witvliet_8_syn,pristi_s14_syn,pristi_s15_syn,conserved_syn,average_size_syn,elegans_sum_syn,pristi_sum_syn,elegans_specific_syn,pristi_specific_syn,specific_syn,average_cel_syn_size,average_pristi_syn_size
1257,PVP,AWA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,no,no,not specific,0.0,0.0
1258,PVP,AWB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,no,no,not specific,0.0,0.0
1259,PVP,DVA,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4,1.25,4,0,no,no,not specific,0.5,0.0
1260,PVP,DVC,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1261,PVP,OLQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,no,no,not specific,0.0,0.0
1262,PVP,PVC,1.0,0.0,3.0,1.0,8.0,12.0,6.0,33.0,10.0,12.0,0.0,0.0,9,9.555555555555555,9,0,no,no,not specific,8.6,0.0
1263,PVP,PVP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0,1,no,no,not specific,0.0,0.5
1264,PVP,PVQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1,8.0,0,1,no,no,not specific,0.0,4.0
1265,PVP,RIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2,2.0,2,0,no,no,not specific,0.4,0.0
1266,PVP,RIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1,6.0,0,1,no,no,not specific,0.0,3.0
1267,PVP,RID,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4,1.25,3,1,no,no,not specific,0.3,1.0
1268,PVP,RIF,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,3,1.6666666666666667,3,0,no,no,not specific,0.5,0.0
1269,PVP,RIG,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,10,1.6,10,0,yes,no,cel_specific,1.6,0.0
1270,PVP,RIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1271,PVP,RIR,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,7,1.5714285714285714,5,2,no,no,not specific,0.7,2.0
1272,PVP,RIS,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0,2,0,no,no,not specific,0.2,0.0
1273,PVP,RMG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1,4.0,0,1,no,no,not specific,0.0,2.0
1274,PVP,SAA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1275,PVP,SIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1276,PVP,SIB,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,3,2.6666666666666665,1,2,no,no,not specific,0.1,3.5
1277,PVP,SMB,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0,2,0,no,no,not specific,0.2,0.0
1278,PVP,URX,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,1.4,5,0,no,no,not specific,0.7,0.0
1279,PVP,URY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2,2.5,1,1,no,no,not specific,0.1,2.0
1280,PVQ,ADA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1281,PVQ,ADL,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2,2.5,2,0,no,no,not specific,0.5,0.0
1282,PVQ,AIA,7.0,11.0,6.0,10.0,13.0,20.0,16.0,26.0,18.0,18.0,0.0,0.0,10,14.5,10,0,yes,no,cel_specific,14.5,0.0
1283,PVQ,AIB,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1,0,no,no,not specific,0.2,0.0
1284,PVQ,AIM,0.0,1.0,2.0,0.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,8,1.75,8,0,no,no,not specific,1.4,0.0
1285,PVQ,ALA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,3,1.3333333333333333,3,0,no,no,not specific,0.4,0.0
1286,PVQ,ASE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,4,1.5,4,0,no,no,not specific,0.6,0.0
1287,PVQ,ASG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1288,PVQ,ASH,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.0,3,0,no,no,not specific,0.6,0.0
1289,PVQ,ASJ,2.0,1.0,2.0,3.0,3.0,1.0,0.0,5.0,2.0,2.0,0.0,0.0,9,2.3333333333333335,9,0,no,no,not specific,2.1,0.0
1290,PVQ,ASK,3.0,7.0,3.0,12.0,11.0,10.0,13.0,21.0,9.0,16.0,0.0,0.0,10,10.5,10,0,yes,no,cel_specific,10.5,0.0
1291,PVQ,AVB,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,1.0,2,0,no,no,not specific,0.2,0.0
1292,PVQ,AWA,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,6,1.6666666666666667,6,0,no,no,not specific,1.0,0.0
1293,PVQ,AWB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,no,no,not specific,0.0,0.0
1294,PVQ,CEP,1.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,8,1.5,8,0,no,no,not specific,1.2,0.0
1295,PVQ,PVC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1296,PVQ,RIF,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,0.0,4,2.0,3,1,no,no,not specific,0.6,1.0
1297,PVQ,RIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,5.0,2,19.0,0,2,no,yes,pristi_specific,0.0,19.0
1298,PVQ,RMG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,4.0,11.0,5,4.0,3,2,no,no,not specific,0.5,7.5
1299,PVR,ADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,no,no,not specific,0.0,0.0
1300,PVR,ALM,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1301,PVR,AVB,3.0,3.0,4.0,8.0,13.0,1.0,7.0,0.0,20.0,19.0,0.0,0.0,9,8.666666666666666,9,0,no,no,not specific,7.8,0.0
1302,PVR,AVD,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1303,PVR,AVJ,2.0,1.0,3.0,7.0,5.0,2.0,3.0,0.0,7.0,12.0,0.0,0.0,9,4.666666666666667,9,0,no,no,not specific,4.2,0.0
1304,PVR,BDU,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1305,PVR,CEP,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6,1.0,6,0,no,no,not specific,0.6,0.0
1306,PVR,IL1,1.0,1.0,1.0,5.0,7.0,1.0,8.0,0.0,9.0,8.0,0.0,0.0,9,4.555555555555555,9,0,no,no,not specific,4.1,0.0
1307,PVR,OLQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,no,no,not specific,0.0,0.0
1308,PVR,RIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2,3.0,0,2,no,yes,pristi_specific,0.0,3.0
1309,PVR,RIP,2.0,1.0,2.0,5.0,14.0,1.0,10.0,0.0,19.0,15.0,49.0,19.0,11,12.454545454545455,9,2,no,no,not specific,6.9,34.0
1310,PVR,RIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,2,6.0,0,2,no,yes,pristi_specific,0.0,6.0
1311,PVR,RIV,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1312,PVR,RMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2,3.5,0,2,no,yes,pristi_specific,0.0,3.5
1313,PVR,SIB,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1314,PVR,SMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,3.0,0,1,no,no,not specific,0.0,1.5
1315,PVR,URA,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,2,0,no,no,not specific,0.2,0.0
1316,PVR,URY,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,4,0,no,no,not specific,0.4,0.0
1317,PVT,ADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,no,no,not specific,0.0,0.0
1318,PVT,ADE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,no,no,not specific,0.0,0.0
1319,PVT,AIB,1.0,0.0,3.0,2.0,5.0,6.0,3.0,16.0,9.0,8.0,0.0,0.0,9,5.888888888888889,9,0,no,no,not specific,5.3,0.0
1320,PVT,AVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,no,no,not specific,0.0,0.0
1321,PVT,AVE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1.0,2,0,no,no,not specific,0.2,0.0
1322,PVT,AVK,3.0,5.0,5.0,13.0,17.0,8.0,17.0,16.0,21.0,26.0,0.0,0.0,10,13.1,10,0,yes,no,cel_specific,13.1,0.0
1323,PVT,AVL,0.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,6.0,7.0,0.0,0.0,7,3.4285714285714284,7,0,no,no,not specific,2.4,0.0
1324,PVT,BAG,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1,0,no,no,not specific,0.2,0.0
1325,PVT,CEP,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,4,2.75,4,0,no,no,not specific,1.1,0.0
1326,PVT,DVB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,no,no,not specific,0.0,0.0
1327,PVT,DVC,0.0,1.0,0.0,2.0,4.0,4.0,1.0,3.0,2.0,13.0,0.0,0.0,8,3.75,8,0,no,no,not specific,3.0,0.0
1328,PVT,IL1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1329,PVT,IL2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3,1.6666666666666667,3,0,no,no,not specific,0.5,0.0
1330,PVT,OLL,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1331,PVT,OLQ,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,3,0,no,no,not specific,0.3,0.0
1332,PVT,PVT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,no,no,not specific,0.0,0.0
1333,PVT,RIB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,3.0,0,1,no,no,not specific,0.0,1.5
