Connector_ID,Source_ID,Target_ID,Source,Target,Connector_title,Width,Height,lid,Con_X,Con_Y,Con_Radius,z,Scorer,Confirmed,Confidence,Synapse_Type,Sections
37911,34321,35223,L VNC NR crossing over no nuc_roi,AIMR_roi,c-2 3(c),22.0,52.0,17247,5.0,5.0,5.0,53500.0,,,3,c,2
37913,34401,34321,AVFR_roi,L VNC NR crossing over no nuc_roi,c-2 4(c),48.0,100.0,17261,36.0,5.0,5.0,53580.0,,,4,c,2
37913,34401,34024,AVFR_roi,PVNL_roi,c-2 4(c),48.0,100.0,17261,36.0,5.0,5.0,53580.0,,,4,c,2
37915,34024,35609,PVNL_roi,SMBVL_roi,c-1 1(c),44.0,16.0,14177,48.0,23.0,6.6666665,51520.0,,,1,c,1
37917,35323,35565,ASKR_roi,AIAR_roi,c-2 2(c),41.0,17.0,14197,49.0,70.0,6.6666665,51640.0,,,2,c,2
37919,35619,34283,SAADL_roi,AVER_roi,c-2 4(c),54.0,62.0,14076,49.0,13.0,13.333333,50840.0,,,4,c,2
37919,35619,35389,SAADL_roi,RMFL_roi,c-2 4(c),54.0,62.0,14076,49.0,13.0,13.333333,50840.0,,,4,c,2
37921,34410,35403,RIGR_roi,BAGL_roi,c-4 3(c),87.0,76.0,14105,24.0,3.0,3.3333333,51040.0,,,3,c,4
37921,34410,33976,RIGR_roi,RIMR_roi,c-4 3(c),87.0,76.0,14105,24.0,3.0,3.3333333,51040.0,,,3,c,4
37923,35225,35501,RIS_roi,URYVR_roi,c-4 4(c),76.0,79.0,14105,40.0,3.0,3.3333333,51040.0,,,4,c,4
37923,35225,35333,RIS_roi,RIBR_roi,c-4 4(c),76.0,79.0,14105,40.0,3.0,3.3333333,51040.0,,,4,c,4
37928,35461,34544,IL1DL_roi,areatree,c-3 4(c),27.0,39.0,14105,40.0,3.0,3.3333333,51040.0,,,4,c,3
37930,35387,34553,SMBDR_roi,areatree,c-8 2(c),61.0,61.0,14105,16.0,63.0,3.3333333,51040.0,,,2,c,8
37930,35387,33951,SMBDR_roi,RMED,c-8 2(c),61.0,61.0,14105,16.0,63.0,3.3333333,51040.0,,,2,c,8
37932,35397,35255,RMDVR_roi,RMDDL_roi,c-2 2(c),43.0,46.0,14105,50.0,76.0,3.3333333,51040.0,,,2,c,2
37932,35397,34574,RMDVR_roi,areatree,c-2 2(c),43.0,46.0,14105,50.0,76.0,3.3333333,51040.0,,,2,c,2
37934,35467,34574,URAVL_roi,areatree,c-5 4(c),63.0,76.0,14105,7.0,3.0,3.3333333,51040.0,,,4,c,5
37934,35467,34547,URAVL_roi,areatree,c-5 4(c),63.0,76.0,14105,7.0,3.0,3.3333333,51040.0,,,4,c,5
37934,35467,35433,URAVL_roi,RMEL_roi,c-5 4(c),63.0,76.0,14105,7.0,3.0,3.3333333,51040.0,,,4,c,5
37934,35467,35411,URAVL_roi,IL1VL_roi,c-5 4(c),63.0,76.0,14105,7.0,3.0,3.3333333,51040.0,,,4,c,5
37936,33470,35415,URAVR_roi,RMER_roi,c-1 2(c),53.0,79.0,14151,43.0,65.0,3.3333333,51340.0,,,2,c,1
37936,33470,34550,URAVR_roi,areatree,c-1 2(c),53.0,79.0,14151,43.0,65.0,3.3333333,51340.0,,,2,c,1
37938,35243,34577,RMDDR_roi,areatree,c-1 1(c),10.0,44.0,14173,3.0,50.0,3.3333333,51480.0,,,1,c,1
37940,33973,35509,RMDR_roi,RIAL_roi,c-2 2(c),46.0,68.0,14133,57.0,41.0,3.3333333,51240.0,,,2,c,2
37940,33973,35395,RMDR_roi,RMDVL_roi,c-2 2(c),46.0,68.0,14133,57.0,41.0,3.3333333,51240.0,,,2,c,2
37942,35247,35489,RIH_roi,OLQVL_roi,c-2 3(c),67.0,60.0,14173,3.0,3.0,3.3333333,51480.0,,,3,c,2
37942,35247,35503,RIH_roi,URYVL_roi,c-2 3(c),67.0,60.0,14173,3.0,3.0,3.3333333,51480.0,,,3,c,2
37944,34289,35685,RIAR_roi,SIADR_roi,c-2 3(c),60.0,44.0,14105,3.0,29.0,3.3333333,51040.0,,,3,c,2
37944,34289,35511,RIAR_roi,SMDVL_roi,c-2 3(c),60.0,44.0,14105,3.0,29.0,3.3333333,51040.0,,,3,c,2
37946,35443,35419,RIPR_roi,OLQDR_roi,c-1 2(c),39.0,36.0,14157,3.0,52.0,3.3333333,51400.0,,,2,c,1
37948,33870,34654,AVKR_roi,areatree,c-2 3(c),50.0,63.0,13920,63.0,67.0,3.3333333,49820.0,,,3,c,2
37948,33870,35669,AVKR_roi,RIML_roi,c-2 3(c),50.0,63.0,13920,63.0,67.0,3.3333333,49820.0,,,3,c,2
37950,35389,35407,RMFL_roi,CEPVR_roi,c-2 2(c),57.0,55.0,14064,10.0,65.0,10.0,50780.0,,,2,c,2
37950,35389,34568,RMFL_roi,areatree,c-2 2(c),57.0,55.0,14064,10.0,65.0,10.0,50780.0,,,2,c,2
37952,35455,35471,IL2VR_roi,IL2R_roi,c-3 4(c),85.0,72.0,14060,66.0,20.0,10.0,50740.0,,,4,c,3
37952,35455,34550,IL2VR_roi,areatree,c-3 4(c),85.0,72.0,14060,66.0,20.0,10.0,50740.0,,,4,c,3
37952,35455,34565,IL2VR_roi,areatree,c-3 4(c),85.0,72.0,14060,66.0,20.0,10.0,50740.0,,,4,c,3
37955,35509,35205,RIAL_roi,RMGR_roi,c-1,79.0,103.0,17388,76.0,10.0,10.0,54620.0,,,N,c,1
37955,35509,33973,RIAL_roi,RMDR_roi,c-1,79.0,103.0,17388,76.0,10.0,10.0,54620.0,,,N,c,1
37957,35509,35517,RIAL_roi,RMDL_roi,c-3,76.0,30.0,14155,43.0,10.0,10.0,51380.0,,,N,c,3
37959,33870,34410,AVKR_roi,RIGR_roi,c-2,86.0,74.0,14151,114.0,10.0,10.0,51340.0,,,N,c,2
37959,33870,35685,AVKR_roi,SIADR_roi,c-2,86.0,74.0,14151,114.0,10.0,10.0,51340.0,,,N,c,2
37961,35277,34384,AQR_roi,DVA_roi,c-3,111.0,120.0,14157,10.0,10.0,10.0,51400.0,,,N,c,3
37961,35277,34381,AQR_roi,PVCR_roi,c-3,111.0,120.0,14157,10.0,10.0,10.0,51400.0,,,N,c,3
37963,35277,35637,AQR_roi,AVEL_roi,c-4,137.0,97.0,14191,10.0,10.0,10.0,51600.0,,,N,c,4
37963,35277,34384,AQR_roi,DVA_roi,c-4,137.0,97.0,14191,10.0,10.0,10.0,51600.0,,,N,c,4
37965,35277,34384,AQR_roi,DVA_roi,c-4,62.0,116.0,14193,10.0,10.0,10.0,51620.0,,,N,c,4
37967,35277,35333,AQR_roi,RIBR_roi,e-3,121.0,32.0,14193,77.0,10.0,10.0,51620.0,,,N,e,3
37969,35277,35365,AQR_roi,PVPL_roi,e-2,41.0,93.0,14193,80.0,10.0,10.0,51620.0,,,N,e,2
37971,35277,34378,AQR_roi,PVPR_roi,e-2,87.0,39.0,14197,10.0,68.0,10.0,51640.0,,,N,e,2
37973,33970,35333,AINR_roi,RIBR_roi,c-3,90.0,82.0,14217,14.0,10.0,10.0,51780.0,,,N,c,3
37975,35671,35675,RIPL_roi,RIVL_roi,c-3,105.0,134.0,14223,93.0,111.0,10.0,51820.0,,,N,c,3
37975,35671,35293,RIPL_roi,RICL_roi,c-3,105.0,134.0,14223,93.0,111.0,10.0,51820.0,,,N,c,3
37977,35435,35577,URYDL_roi,AVAL_roi,c-4,80.0,120.0,14136,60.0,10.0,10.0,51260.0,,,N,c,4
37977,35435,35391,URYDL_roi,RMHL_roi,c-4,80.0,120.0,14136,60.0,10.0,10.0,51260.0,,,N,c,4
37979,35551,35157,ALNL_roi,RMGL_roi,c-6,124.0,121.0,14188,104.0,98.0,10.0,51580.0,,,N,c,6
37979,35551,35623,ALNL_roi,SAAVL_roi,c-6,124.0,121.0,14188,104.0,98.0,10.0,51580.0,,,N,c,6
37981,35509,33973,RIAL_roi,RMDR_roi,c-2,92.0,117.0,14203,32.0,10.0,10.0,51700.0,,,N,c,2
37981,35509,35395,RIAL_roi,RMDVL_roi,c-2,92.0,117.0,14203,32.0,10.0,10.0,51700.0,,,N,c,2
37983,33973,34544,RMDR_roi,areatree,c-4,114.0,113.0,14155,90.0,19.0,10.0,51380.0,,,N,c,4
37985,34289,35157,RIAR_roi,RMGL_roi,c-3,113.0,117.0,2233,10.0,10.0,10.0,33420.0,,,N,c,3
37985,34289,35517,RIAR_roi,RMDL_roi,c-3,113.0,117.0,2233,10.0,10.0,10.0,33420.0,,,N,c,3
37987,35225,35667,RIS_roi,RIBL_roi,c-5,100.0,78.0,1913,83.0,55.0,10.0,30540.0,,,N,c,5
37987,35225,35503,RIS_roi,URYVL_roi,c-5,100.0,78.0,1913,83.0,55.0,10.0,30540.0,,,N,c,5
37993,34241,33504,GLRDR,CEPDR,c-2,93.0,65.0,1412,84.0,45.0,10.0,26320.0,,,N,c,2
37993,34241,33312,GLRDR,IL2DR,c-2,93.0,65.0,1412,84.0,45.0,10.0,26320.0,,,N,c,2
37997,34241,33312,GLRDR,IL2DR,c-2,94.0,95.0,1356,48.0,10.0,10.0,25840.0,,,N,c,2
37997,34241,33275,GLRDR,IL1DR,c-2,94.0,95.0,1356,48.0,10.0,10.0,25840.0,,,N,c,2
37997,34241,33312,GLRDR,IL2DR,c-2,94.0,95.0,1356,48.0,10.0,10.0,25840.0,,,N,c,2
38001,34225,34339,GLRR,FLPR?,c-1,58.0,46.0,1895,10.0,10.0,10.0,30400.0,,,N,c,1
38003,28318,34225,RIPL,GLRR,c-2,69.0,48.0,2009,10.0,71.0,10.0,31320.0,,,N,c,2
38021,34232,33735,GLRVL,URYVL,c-2,73.0,76.0,1332,147.0,59.0,10.0,25640.0,,,N,c,2
38021,34232,33327,GLRVL,IL1VL,c-2,73.0,76.0,1332,147.0,59.0,10.0,25640.0,,,N,c,2
38025,34235,33285,GLRL,OLLL,c-2,175.0,69.0,1846,102.0,10.0,10.0,29960.0,,,N,c,2
38033,35207,34392,PVQR_roi,RIFR-to-join,c-2,97.0,125.0,14353,10.0,84.0,10.0,52680.0,,,N,c,2
38033,35207,35225,PVQR_roi,RIS_roi,c-2,97.0,125.0,14353,10.0,84.0,10.0,52680.0,,,N,c,2
38040,35675,35511,RIVL_roi,SMDVL_roi,c-4,150.0,136.0,14217,16.0,93.0,10.0,51780.0,,,N,c,4
38040,35675,35243,RIVL_roi,RMDDR_roi,c-4,150.0,136.0,14217,16.0,93.0,10.0,51780.0,,,N,c,4
38042,35509,35395,RIAL_roi,RMDVL_roi,c-4,114.0,94.0,14309,25.0,10.0,10.0,52380.0,,,N,c,4
38042,35509,35243,RIAL_roi,RMDDR_roi,c-4,114.0,94.0,14309,25.0,10.0,10.0,52380.0,,,N,c,4
38044,35211,33994,BDUR_roi,PVNR_roi,c-2,79.0,91.0,14309,10.0,10.0,10.0,52380.0,,,N,c,2
38044,35211,35225,BDUR_roi,RIS_roi,c-2,79.0,91.0,14309,10.0,10.0,10.0,52380.0,,,N,c,2
38048,33991,35289,BDUL_roi,AVJL_roi,c-2,112.0,107.0,14217,10.0,10.0,10.0,51780.0,,,N,c,2
38048,33991,33997,BDUL_roi,PVR_roi,c-2,112.0,107.0,14217,10.0,10.0,10.0,51780.0,,,N,c,2
38052,35491,35585,ADLR_roi,ALA_roi,c-2,76.0,116.0,14193,10.0,10.0,10.0,51620.0,,,N,c,2
38052,35491,35419,ADLR_roi,OLQDR_roi,c-2,76.0,116.0,14193,10.0,10.0,10.0,51620.0,,,N,c,2
38057,35565,35319,AIAR_roi,ASHR_roi,c-3,67.0,112.0,14223,10.0,10.0,10.0,51820.0,,,N,c,3
38059,35317,35221,AFDR_roi,AIYR_roi,c-7,67.0,102.0,14227,74.0,83.0,10.0,51860.0,,,N,c,7
